DATE,ALPHA,ASIA,EU,US,BLUE,FINANCE,GREEN,RETAIL,TECH,GROWTH,MOMENTUM,VOLATILITY,YIELD
2023-05-21,1.0,10.0,-1.0,1.0,-5.0,1.0,3.0,-4.0,-1.0,1.0,-7.0,-1.0,4.0
2023-05-22,1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,1.0
2023-05-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-24,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0
2023-05-25,1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,2.0,1.0,0.0
2023-05-26,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2023-05-27,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2023-05-28,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0
2023-05-29,1.0,-1.0,-2.0,2.0,2.0,-3.0,-1.0,2.0,3.0,-3.0,3.0,-2.0,2.0
2023-05-30,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
2023-05-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
2023-06-02,1.0,-6.0,2.0,-17.0,-8.0,0.0,20.0,4.0,-2.0,-8.0,-7.0,2.0,21.0
2023-06-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2023-06-04,1.0,-2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0
2023-06-05,1.0,-1.0,-4.0,0.0,-3.0,2.0,3.0,-1.0,2.0,0.0,0.0,0.0,3.0
2023-06-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2023-06-07,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-06-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-11,1.0,-22.0,-18.0,50.0,-2.0,-14.0,-5.0,22.0,4.0,8.0,19.0,-37.0,-4.0
2023-06-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0
2023-06-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-06-15,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,1.0
2023-06-16,1.0,5.0,13.0,4.0,-10.0,2.0,-11.0,-14.0,5.0,8.0,1.0,-4.0,3.0
2023-06-17,1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-06-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-19,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0
